40.75,-73.99,13,66.27568493387267
40.75,-73.99,14,65.83416700256043
40.75,-73.99,21,65.23760925425758
40.75,-73.99,12,64.56516153666243
40.75,-73.99,8,64.05531655395988
40.75,-73.99,15,63.701163363929155
40.75,-73.99,22,63.693730841163415
40.75,-73.99,7,63.53073692086209
40.75,-73.99,29,63.22756822910162
40.75,-73.99,20,62.96403965875844
40.75,-73.98,13,61.686819299277246
40.75,-73.99,6,61.54612294727314
40.75,-73.98,14,61.03719073052428
40.74,-73.99,29,60.814475837824546
40.75,-73.98,21,60.508829638475504
40.74,-73.99,14,60.46566884837971
40.75,-73.99,16,60.460061857521346
40.74,-73.99,8,60.436590732997956
40.74,-73.99,15,60.35144270903254
40.75,-73.99,28,60.29758951776498
40.74,-73.99,21,60.120121737340895
40.74,-73.99,22,59.901840279273365
40.75,-73.99,11,59.848899853959495
40.74,-73.99,13,59.80078404868654
40.75,-73.99,9,59.614840584406785
40.75,-73.98,12,59.54194970324804
40.75,-73.98,7,58.98411931040877
40.75,-73.98,8,58.75931809552919
40.75,-73.99,10,58.75358070953458
40.75,-73.98,20,58.53243055846974
40.74,-73.99,7,58.36252569594764
40.74,-73.99,16,58.331361258386025
40.75,-73.99,23,58.30893329495256
40.75,-73.98,15,58.15180715578208
40.75,-73.98,22,58.1267712896238
40.76,-73.98,13,58.00589499832834
40.74,-73.99,12,57.77535639745414
40.75,-73.98,29,57.697249710845746
40.74,-73.99,20,57.52591050182499
40.75,-73.98,6,57.12768375574479
40.74,-73.99,9,57.11060199289721
40.76,-73.98,14,57.00224363468089
40.73,-74.0,16,56.859982541041894
40.76,-73.98,21,56.6570877090508
40.75,-73.99,5,56.61562205572614
40.74,-74.0,29,56.48522691948508
40.75,-73.99,19,56.4659284393214
40.74,-73.99,28,56.18649166235681
40.74,-73.99,6,56.08269713390893
40.75,-73.98,28,56.061442726701635
